A				aI
a				@
able			xAbul
about			ubA@t
account			@kA@nt
acid			asid
across			@kros
act				akt
addition		adiSI@n
adjustment		@dJ@stment
advertisement	advirtxIzment
agreement		@grIment
after			aftir
again			@gin
against			@ginst
air				xAr
all				ol
almost			olmO@st
among			@m@G
amount			@mA@nt
amusement		@mUIzment
angle			angl
animal			anim@l
answer			ans@r
and				and
angry			aGrI
ant				ant
any				anI
apparatus		apirat@s
apple			ap@l
approval		@prUv@l
arch			orC
argument		orgUment
arm				orm
army			ormI
art				ort
as				az
at				at
attack			@tak
attempt			@temt
attention		@tenS@n
attraction		@trakS@n
authority		oDOritI
automatic		otWmatik
awake			@wxAk

alcohol			alk@hol
algebra			alJ@br@
aluminium		@lUmin@m	
ammonia			@mWnI@
anesthetic		anisDetik
April			xApril
arithmetic		@riTm@tik
asbestos		azbest@s
August			ogest
autobus			otWb@s
automobile		otWbIl

absence			absens
absorption		@bzOrbS@n
acceleration	aksel@rxAS@n
acceptance		aksept@ns
accessory		akses@rI
accident		aksident
active			aktiv
address			aJres
adjacent		aJxAs@nt
adventure		advenSer
advice			advxIs
age				xAJ
agent			xAJent
agency			xAJensI
ago				@gW
allowance		@lauens
along			@loN
also			olsW
alternative		olt@rn@tiv
always			olwxAs
ambition		ambiS@n
amplitude		amplitUd
anchor			ankir
ankle			ank@l
appendage		@pendAJ
application		aplikaS@n
approximation	@aproksimxAS@n
arbitration		orbitrxAS@n
arbitrary		orbitrarI
arc				ork
area			erI@
arrangement		@rxAnJment
ash				aS
asset			aSet
assistant		@sistent
average			av@raJ
awkward			okward
axis			aksis

afterthought	afturDot
airplane		erplxAn
another			@n@Tir
anybody			anIbudI
anyhow			anIhou
anyone			anIwon
anything		anIDIG
anywhere		anIwer

actor			aktir
acting			aktIG

B				bI

baby			bxAbI
back			bak
bad				bad
bag				bag
balance			baluns
ball			bol
band			band
base			bxAs
basin			bxAsin
basket			baskit
bath			baT
be				bI
beautiful		bIutiful
because			bIk@s
bed				bed
bee				bI
before			bIfOr
behavior		bIhxAviOr
belief			bIlIf
bell			bel
bent			bent
berry			berI
between			bItwIn
billion			bilI@n
bird			b@rd
birth			b@rT
bit				bit
bite			boIt
bitter			bit@r
black			blak
blade			blxAd
blood			blud
blow			blW
blue			blU
board			bOrd
boat			bWt
body			bodI
bone			bWn
book			buk
boot			bUt
boiling			bOIlIG
bottle			bot@l
box				boks
boy				bOI
brain			b.rxAn
brake			b.rxAk
branch			b.ranC.
brass			b.ras.
bread			b.red
breath			b.reT
brick			b.rik
bridge			b.riJ
bright			b.rxAt
broken			b.rWkin
brother			b.r@D@r
brown			b.roun
brush			b.r@S
bucket			b@kit
building		bildIG
bulb			bulb
button			b@t@n
burn			b@rn
burst			b@rst
business		bisnes
but				b@t
butter			b@t@r
by				bxI

ballet			balxAt
bang			baG
bank			bank
bar				bor
beef			bIf
beer			bIr
biology			bxAlWJI
bomb			bomb

balcony			balkunI
bale			bxAl
bankrupt		bankr@pt
bark			bork
barrel			barel
beak			bIk
beaker			bIk@r
beard			bIerd
beat			bIt
behind			bIhaInd
belt			belt
bet				bet
bill			bil
birefringence	beiref@rinJ@ns
blame			blxAm
blanket			blAnket
both			bWT
bottom			botum
brave			b.rxAv
break			b.rxAk
breakfast		b.rekfast
breast			b.rest
broker			b.rWk@r
bubble			b@b@l
bud				b@d
budget			b@dJet
buoyancy		bOIunsI
bunch			bunC
burial			berIul
busy			busI

backbone		bakbWn
backwoods		bakwUdz
become			bIkxAm
bedroom			bedrUm
beeswax			bIzwaks
birthday		b.rTdxA
birthright		b.rTroIt
blackberry		b.lakberI
blackbird		b.lakb@rd
blackboard		b.lakbOrd
bloodvessel		b.ludves@l
bluebell		b.lUbel
bookkeeper		bUkIp@r
brushwood		bur@SwUd
buttercup		b@t@rk@p

basing			bxAsiG
based			bxAst
builder			bild@r
burner			b@rn@r
burned			b@rnd
burning			b@rnIG

C				sI

cake			kxAk
camera			kam@r@
canvas			kanvas
card			kord
care			kxAr
carriage		kxAraJ
cart			kort
cat				kat
cause			kos
certain			s@rtan
chain			CxAn
chalk			Colk
chance			Cans
change			CxAnJ
cheap			CIp
cheese			CIz
chemical		kemik@l
chest			Cest
chief			CIf
chin			Cin
church			C@rC
circle			s@rk@l
cloth			k@loT
clean			k@lIn
clear			k@lir
clock			k@lok
cloud			k@loud
coal			k@l
coat			kWt
cold			k@ld
collar			k@l@r
color			kul@r
comb			kWmb
come			k@m
comfort			k@mf@rt
committee		k@mitI
common			kom@n
company			k@mpanI
comparison		k@mparis@n
competition		kompetiS@n
complete		k@mp@lIt
complex			komp@leks
condition		kondiS@n
connection		konekS@n
conscious		konSus
control			kont@rOl
cook			kuk
copper			kop@r
copy			kopI
cord			kOrd
cork			kOrk
cotton			kotun
cough			kof
country			kuntrI
cover			kuv@r
cow				kou
crack			k@rak
credit			k@redit
crime			k@roIm
cruel			k@rUl
crush			k@r@S
cry				k@roI
cup				kup
current			k@rent
curtain			k@rtan
curve			k@rv
cushion			kuS@n
cut				k@t

cafe			kafxA
calendar		kal@nd@r
catarrh			kat@r
centi-			sentI
champagne		SampxAn
chauffeur		SWf@r
check			Cek
chemist			kemist
chemistry		kemist@rI
chocolate		Coklat
chorus			kOrus
cigarette		sig@ret
circus			s@rkus
citron			sitron
club			kl@b
cocktail		koktxAl
coffee			kofI
cognac			kWnIak
college			kolaJ
colony			kol@nI

calculation		kalkIuxAS@n
call			kal
capacity		k@pasitI
capital			kapital
carpet			korpit
cartilage		kortilaJ
case			kxAs
cast			kast
cave			kxAv
cavity			kavitI
cell			sel
ceremony		serimWnI
certificate		s@rtifikat
chair			Cer
character		kerikt@r
charge			CarJ
child			CaIld
chimney			CimnI
china			CaIn@
choice			CWIs
circulation		s@rkulxAS@n
circuit			s@rkut
circumference	s@rkumf@rens
civilization	sivilaIzxAS@n
clay			k.lxA
claim			k.lxAm
claw			k.lo
